Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL
Nissan Sunny 2022,"550,000 EGP",Gray,"38,650 Km",Nissan,Sunny,Warraq,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6170957
Geely Emgrand 7 2018,"280,000 EGP",White,"174,000 Km",Geely,Emgrand 7,Cairo,2023-12-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/geely/emgrand7/6171014
Hyundai Elantra MD 2011,"880,000 EGP",White,"125,000 Km",Hyundai,Elantra MD,Quesna,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/Elantra-MD/6171017
Chery Tiggo 8 pro e+ 2022,"1,300,000 EGP",Black,"65,000 Km",Chery,Tiggo 8 pro e+,Heliopolis,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo-8-pro-e+/6176358
Suzuki Swift Dzire 2022,"750,000 EGP",Silver,"77,000 Km",Suzuki,Swift Dzire,Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/6176354
Toyota Rush 2023,"1,400,000 EGP",Bronze,300 Km,Toyota,Rush,Giza,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/Rush/6176351
Citroën C3 Aircross 2021,"860,000 EGP",Red,"11,500 Km",Citroën,C3 Aircross,Suez,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/C3-Aircross/6176310
Fiat Tipo 2022,"810,000 EGP",Brown,"125,000 Km",Fiat,Tipo,Maadi,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/tipo/6176009
Nissan Sunny 2017,"550,000 EGP",Red,"280,000 Km",Nissan,Sunny,Giza,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6162828
Hyundai Accent 2006,"185,000 EGP",Silver,"250,000 Km",Hyundai,Accent,Kafr el-Sheikh,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/accent/6176270
Nissan Sunny 2019,"480,000 EGP",Bronze,"95,000 Km",Nissan,Sunny,Damietta,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6176262
Renault Fluence 2016,"580,000 EGP",Mocha,"280,000 Km",Renault,Fluence,Tagamo3 - New Cairo,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/renault/fluence/6172928
Kia Pride 1999,"125,000 EGP",Green,"220,000 Km",Kia,Pride,Ismailia,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/pride/6176234
Volkswagen Caddy 2008,"250,000 EGP",White,"250,000 Km",Volkswagen,Caddy,Helwan,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/caddy/6174593
Skoda Fantasia 2010,"550,000 EGP",Dark red,"195,000 Km",Skoda,Fantasia,Ismailia,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/skoda/fantasia/6176156
Byd F3 2018,"270,000 EGP",Mocha,"260,000 Km",Byd,F3,El Haram,2023-12-16,No,No,No,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6176123
Nissan Sunny 2022,"590,000 EGP",Silver,"58,000 Km",Nissan,Sunny,Giza,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6176172
Daewoo Lanos 2006,"197,000 EGP",Black,"111,000 Km",Daewoo,Lanos,Maadi,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/lanos/6175557
Kia Cerato 2018,"300,000 EGP",Gray,"100,000 Km",Kia,Cerato,Maadi,2023-12-09,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6128747
Fiat Shahin 2007,"130,000 EGP",Gray,,Fiat,Shahin,Beni Suef,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/shahin/6176127
Mitsubishi Lancer Puma 2007,"500,000 EGP",Dark grey,"190,000 Km",Mitsubishi,Lancer Puma,Dokki,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6175607
BMW X3 2008,"680,000 EGP",Dark blue,"300,000 Km",BMW,X3,Helwan,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/bmw/x3/6176145
Kia Forte 2011,"480,000 EGP",White,"120,000 Km",Kia,Forte,Giza,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/forte/6176136
Citroën C Elysee 2023,"850,000 EGP",Gray,"11,000 Km",Citroën,C Elysee,6 October,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c-elysee/6176084
Hyundai I30 2015,"700,000 EGP",Silver,"159,000 Km",Hyundai,I30,Asyut,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/i30/6175959
Renault Logan 2016,"410,000 EGP",Blue,"172,000 Km",Renault,Logan,Al Shorouk,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/renault/logan/6176021
Kia Sportage 2019,"1,450,000 EGP",Petroleum,"78,000 Km",Kia,Sportage,6 October,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6176016
Citroën Berlingo 2005,"110,000 EGP",White,,Citroën,Berlingo,El Marg,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/citroen/berlingo/6176003
Lada 2105 1995,"50,000 EGP",Red,"200,000 Km",Lada,2105,El Marg,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/lada/2105/6175995
Volvo XC90 2014,"1,450,000 EGP",Black,"190,000 Km",Volvo,XC90,Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volvo/xc90/6175971
Hyundai Tucson GDI 2017,"1,100,000 EGP",White,"160,000 Km",Hyundai,Tucson GDI,El Haram,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/Tucson-GDI/6175941
Volvo XC90 2014,"1,470,000 EGP",Black,"190,000 Km",Volvo,XC90,Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volvo/xc90/6175929
MG HS 2022,"1,195,000 EGP",Black,"127,000 Km",MG,HS,Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/MG-HS/6175922
Suzuki Swift Dzire 2021,"550,000 EGP",White,"41,000 Km",Suzuki,Swift Dzire,Tagamo3 - New Cairo,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/swift-dzire/5947840
Mercedes GLC 200 2024,"5,350,000 EGP",Dark blue,,Mercedes,GLC 200,Tagamo3 - New Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/GLC-200/6175886
Mercedes GLS 2023,"8,350,000 EGP",Black,"4,000 Km",Mercedes,GLS,Nasr city,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/GLS/6127310
Renault Duster 2012,"450,000 EGP",Silver,"299,846 Km",Renault,Duster,El Haram,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/duster/6175695
Citroën C Elysee 2014,"420,000 EGP",Gray,"78,000 Km",Citroën,C Elysee,Alexandria,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c-elysee/6175808
Byd F3 2021,"350,000 EGP",Black,"165,000 Km",Byd,F3,Cairo,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6175811
Chevrolet Lanos 2015,"320,000 EGP",Blue,"165,000 Km",Chevrolet,Lanos,Bilbeis,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6175802
Opel Astra 2019,"725,000 EGP",Silver,"110,000 Km",Opel,Astra,Dokki,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/astra/6170340
Kia Cerato 2020,"900,000 EGP",Dark grey,"164,000 Km",Kia,Cerato,Faiyum,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6175730
Fiat 132 1982,"35,000 EGP",Silver,,Fiat,132,Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/132/6175763
Hyundai Elantra CN7 2022,"1,150,000 EGP",White,"85,000 Km",Hyundai,Elantra CN7,Alexandria,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-CN7/6173328
Hyundai Verna 2014,"440,000 EGP",Dark grey,"177,000 Km",Hyundai,Verna,Sharm el-Sheikh,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6128661
Mitsubishi Lancer Puma 2005,"380,000 EGP",Black,"423,000 Km",Mitsubishi,Lancer Puma,Helwan,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6175710
Seat Ibiza 2021,"900,000 EGP",Silver,"45,000 Km",Seat,Ibiza,Sadat City,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/seat/ibiza/6154127
Nissan Sunny 1999,"275,000 EGP",Silver,,Nissan,Sunny,Port Said,2023-12-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6175686
Kia Carens 2011,"500,000 EGP",Brown,"160,000 Km",Kia,Carens,El Haram,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/carens/6175617
Suzuki Van 1980,"80,000 EGP",Red,,Suzuki,Van,El Mahalla,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/van/6175685
Byd F3 2018,"400,000 EGP",Black,"144,000 Km",Byd,F3,Maadi,2023-12-16,No,No,No,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6175676
Kia Cerato 2010,"585,000 EGP",Eggplant,"190,000 Km",Kia,Cerato,6 October,2023-12-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6175650
Mercedes GLC 200 2021,"3,600,000 EGP",Petroleum,"70,000 Km",Mercedes,GLC 200,Sheikh Zayed City,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/GLC-200/6175656
Infiniti Fx 2007,"850,000 EGP",Black,"235,000 Km",Infiniti,Fx,Sheraton,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/infiniti/inifiniti-fx/6175623
Kia Sportage 2015,"1,470,000 EGP",White,"77,000 Km",Kia,Sportage,Dikirnis,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6175563
Nissan Qashqai 2020,"1,200,000 EGP",Blue,"85,000 Km",Nissan,Qashqai,Ismailia,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/qashqai/6175560
Citroën Ds5 2013,"700,000 EGP",White,"155,000 Km",Citroën,Ds5,Maadi,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/citroen/citroen-ds5/6175491
Jetour X70 2024,"260,000 EGP",Black,,Jetour,X70,Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jetour/X70/6170081
Hyundai Excel 1994,"130,000 EGP",Silver,"92,000 Km",Hyundai,Excel,Mansoura,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/excel/6175536
Opel Vectra 2008,"500,000 EGP",Gold,"239,000 Km",Opel,Vectra,Ras Gharib,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/vectra/6158312
Peugeot 406 1997,"170,000 EGP",Dark green,,Peugeot,406,Sharqia,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/406/6175517
Toyota Corolla 2015,"850,000 EGP",Dark blue,"186,000 Km",Toyota,Corolla,Sheikh Zayed City,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/toyota/corolla/6175508
Peugeot 3008 2020,"1,450,000 EGP",White,"36,000 Km",Peugeot,3008,Tanta,2023-12-13,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6170382
Jetour X95 2023,"1,650,000 EGP",Blue,"8,000 Km",Jetour,X95,Mokattam,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jetour/X95/6175482
Mini Cooper 2011,"740,000 EGP",Red,"200,000 Km",Mini,Cooper,6 October,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mini/cooper/6175476
Audi Q7 2023,"5,200,000 EGP",Blue,0 Km,Audi,Q7,Alexandria,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/audi/q7/6175413
Speranza A516 2011,"250,000 EGP",Dark grey,"170,000 Km",Speranza,A516,El Haram,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/a516/6175445
Suzuki Baleno 2017,"680,000 EGP",Gray,"60,000 Km",Suzuki,Baleno,10th of Ramadan,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/suzuki/baleno/6175415
Hyundai Accent RB 2023,"850,000 EGP",Dark blue,"15,000 Km",Hyundai,Accent RB,Pyramids Gardens,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6175170
MG 5 2021,"785,000 EGP",Black,"44,900 Km",MG,5,Alexandria,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6168615
Chevrolet Optra 2006,"350,000 EGP",Olive,"185,000 Km",Chevrolet,Optra,Kafr el-Sheikh,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6175404
BMW X3 2019,"3,200,000 EGP",Silver,"123,000 Km",BMW,X3,Obour City,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/bmw/x3/6175382
Mercedes E Class 2015,"2,100,000 EGP",Black,"200,000 Km",Mercedes,E Class,Alexandria,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-class/6175394
Kia K3 2018,"750,000 EGP",White,"137,000 Km",Kia,K3,Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/K3/6175377
Volkswagen Tiguan 2015,"1,250,000 EGP",Brown,"135,000 Km",Volkswagen,Tiguan,10th of Ramadan,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/tiguan/6175373
BMW 318 2016,"2,100,000 EGP",Black,"37,000 Km",BMW,318,Tagamo3 - New Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/318/6173460
Peugeot 406 2004,"340,000 EGP",Blue,"155,000 Km",Peugeot,406,Nasr city,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/406/6173876
Nissan Sunny 2021,"580,000 EGP",Red,"64,009 Km",Nissan,Sunny,Quesna,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6175341
Isuzu D max 2020,"285,000 EGP",White,"105,000 Km",Isuzu,D max,Mansoura,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/isuzu/dmax/6175302
Byd F3 2011,"215,000 EGP",White,,Byd,F3,El Haram,2023-12-16,No,Yes,No,No,https://eg.hatla2ee.com/en/car/byd/f3/6175298
Nissan Qashqai 2013,"715,000 EGP",Red,"285,000 Km",Nissan,Qashqai,Faiyum,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/qashqai/6175283
Geely Emgrand 7 2015,"320,000 EGP",Black,"77,000 Km",Geely,Emgrand 7,Giza,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/geely/emgrand7/6175269
Honda City 2008,"240,000 EGP",Silver,"305,000 Km",Honda,City,Tagamo3 - New Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/honda/city/6175241
Hyundai Elantra AD 2019,"900,000 EGP",Black,"158,000 Km",Hyundai,Elantra AD,Beni Suef,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-AD/6175236
Nissan Sunny 2024,"950,000 EGP",Silver,"8,000 Km",Nissan,Sunny,Hurghada,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/nissan/sunny/6169797
Mitsubishi Xpander 2020,"920,000 EGP",Black,"120,000 Km",Mitsubishi,Xpander,Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mitsubishi/Xpander/6175208
Nissan Sunny 2012,"440,000 EGP",Silver,"200,000 Km",Nissan,Sunny,El Haram,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6175202
Seat Ibiza 2006,"290,000 EGP",Silver,"250,000 Km",Seat,Ibiza,Cairo,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/seat/ibiza/6175182
Byd F3 2021,"405,000 EGP",Silver,"50,000 Km",Byd,F3,Cairo,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6175110
Peugeot 308 2011,"510,000 EGP",Blue,"160,000 Km",Peugeot,308,Qalyubia,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/peugeot/308/6175097
Chery Tiggo 3 2019,"950,000 EGP",Silver,"32,000 Km",Chery,Tiggo 3,Mansoura,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6175079
Chery Tiggo 7 2023,"900,000 EGP",Dark grey,"28,000 Km",Chery,Tiggo 7,Pyramids Gardens,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo-7/6172344
Daihatsu Charade 1994,"110,000 EGP",Dark green,,Daihatsu,Charade,El Marg,2023-12-16,Yes,No,No,Yes,https://eg.hatla2ee.com/en/car/daihatsu/charade/6175046
Fiat Tipo 2020,"770,000 EGP",Silver,"50,000 Km",Fiat,Tipo,Heliopolis,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/tipo/6175043
Speranza Tiggo 2013,"320,000 EGP",Black,"176,000 Km",Speranza,Tiggo,Dakahlia,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/speranza/tiggo/6175005
Hyundai Matrix 2005,"415,000 EGP",Green,"125,000 Km",Hyundai,Matrix,Mansoura,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/matrix/6174990
Byd F3 2018,"400,000 EGP",Silver,"200,000 Km",Byd,F3,10th of Ramadan,2023-12-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6174986
Nissan Sunny 2022,"580,000 EGP",Black,"64,000 Km",Nissan,Sunny,El Manial,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6174975
Skoda Kodiaq 2023,"2,900,000 EGP",Gray,600 Km,Skoda,Kodiaq,Mansoura,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/kodiaq/6174957
Volkswagen Polo 2004,"300,000 EGP",White,"290,000 Km",Volkswagen,Polo,Banha,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/volks-wagen/polo/6174945
Nissan Sunny 2019,"690,000 EGP",Bronze,"110,000 Km",Nissan,Sunny,6 October,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6174941
Chevrolet Optra 2016,"455,000 EGP",Dark grey,"130,000 Km",Chevrolet,Optra,Alexandria,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6174933
Byd F3 2023,"500,000 EGP",Blue,"113,000 Km",Byd,F3,Badr City,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6174932
BMW 520 2018,"2,750,000 EGP",Black,"50,000 Km",BMW,520,Heliopolis,2023-12-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/bmw/520/6174906
Opel Grandland 2018,"1,400,000 EGP",Black,"107,000 Km",Opel,Grandland,Sheikh Zayed City,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/opel/Grandland/6174905
Mercedes GLC 200 2024,"5,350,000 EGP",Dark blue,,Mercedes,GLC 200,Madinaty,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/mercedes/GLC-200/6174852
Jeep Grand Cherokee 1998,"320,000 EGP",Eggplant,"300,000 Km",Jeep,Grand Cherokee,Cairo,2023-12-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/jeep/grand-Cherokee/6169326
Mercedes C 200 2023,"4,000,000 EGP",Black,"3,000 Km",Mercedes,C 200,Nasr city,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6174851
Peugeot 3008 2015,"680,000 EGP",Gold,"90,000 Km",Peugeot,3008,Nasr city,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/peugeot/3008/6174840
Suzuki Van 2012,"165,000 EGP",White,,Suzuki,Van,Shibin El Qanater,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/suzuki/van/6174827
Hyundai Accent RB 2015,"350,000 EGP",Silver,"210,000 Km",Hyundai,Accent RB,Tagamo3 - New Cairo,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/Accent-RB/6174774
Honda Civic 1992,"260,000 EGP",Gray,"200,000 Km",Honda,Civic,Damietta,2023-12-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/honda/civic/6174756
Geely X Pandino 2011,"200,000 EGP",Red,"70,000 Km",Geely,X Pandino,El-Arish,2023-12-16,No,No,No,No,https://eg.hatla2ee.com/en/car/geely/gelly-x-pandino/6174767
Toyota Fortuner 2021,"3,000,000 EGP",Black,"104,000 Km",Toyota,Fortuner,Tagamo3 - New Cairo,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/fortuner/6174761
Renault Kadjar 2018,"900,000 EGP",Silver,"100,000 Km",Renault,Kadjar,Kafr el-Sheikh,2023-12-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6167765
Mercedes A 200 2023,"2,850,000 EGP",White,,Mercedes,A 200,Tagamo3 - New Cairo,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/a-200/6174747
Mercedes GLE 2023,"6,300,000 EGP",Gray,0 Km,Mercedes,GLE,Sheikh Zayed City,2023-12-09,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/gle/6161688
Toyota Auris 2023,"1,200,000 EGP",White,"4,500 Km",Toyota,Auris,Nasr city,2023-12-14,No,No,No,No,https://eg.hatla2ee.com/en/car/toyota/auris/6172731
BMW 320 2024,"3,500,000 EGP",Black,,BMW,320,Mohandessin,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/bmw/320/6174731
Hyundai Elantra HD 2021,"670,000 EGP",Silver,"137,000 Km",Hyundai,Elantra HD,Tagamo3 - New Cairo,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/Elantra-HD/6174695
Hyundai Verna 2009,"255,000 EGP",Black,"416,389 Km",Hyundai,Verna,Cairo,2023-12-15,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6174627
Skoda Octavia A4 1998,"270,000 EGP",Dark green,"240,000 Km",Skoda,Octavia A4,El Minya,2023-12-15,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6174620
Chevrolet Lanos 2019,"440,000 EGP",Dark red,"56,000 Km",Chevrolet,Lanos,Nasr city,2023-12-15,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6174594
Nissan Sunny 2014,"525,000 EGP",Gray,"190,000 Km",Nissan,Sunny,Tanta,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/5906676
Lada Granta 2015,"265,000 EGP",Gray,"170,000 Km",Lada,Granta,Alexandria,2023-12-15,No,Yes,Yes,No,https://eg.hatla2ee.com/en/car/lada/granta/6169080
Mitsubishi Lancer Puma 2006,"360,000 EGP",Green,"107,000 Km",Mitsubishi,Lancer Puma,Damietta,2023-12-15,No,No,No,No,https://eg.hatla2ee.com/en/car/mitsubishi/Lancer-Puma/6174545
Peugeot 308 2009,"550,000 EGP",Blue,"113,000 Km",Peugeot,308,El Minya,2023-12-15,Yes,No,No,No,https://eg.hatla2ee.com/en/car/peugeot/308/6174524
Kia Cerato 2010,"600,000 EGP",Black,"200,000 Km",Kia,Cerato,El Minya,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6174497
Hyundai Avante 2008,"339,000 EGP",Black,"200,000 Km",Hyundai,Avante,Sharqia,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/avante/6174495
Hyundai Tucson 2022,"1,700,000 EGP",Dark red,"100,000 Km",Hyundai,Tucson,Faiyum,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/tucson/6174438
Renault Kadjar 2018,"930,000 EGP",Red,"90,000 Km",Renault,Kadjar,Al Shorouk,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/Kadjar/6174374
Fiat Tipo 2021,"950,000 EGP",Black,"65,000 Km",Fiat,Tipo,Helwan,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/fiat/tipo/6174381
Chery Arrizo 5 2022,"600,000 EGP",Red,"36,000 Km",Chery,Arrizo 5,Kafr el-Sheikh,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Arrizo-5/6172092
Kia K3 2016,"850,000 EGP",Red,"87,000 Km",Kia,K3,6 October,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/K3/6168815
Hyundai Verna 2010,"260,000 EGP",Red,"250,000 Km",Hyundai,Verna,Cairo,2023-12-15,No,No,No,No,https://eg.hatla2ee.com/en/car/hyundai/verna/6168731
Fiat Tipo 2019,"569,000 EGP",Silver,"108,000 Km",Fiat,Tipo,Heliopolis,2023-12-15,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/tipo/6174335
Kia Cerato 2014,"590,000 EGP",Black,"175,000 Km",Kia,Cerato,Cairo,2023-12-15,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/kia/cerato/6174321
Daewoo Nubira 2 2000,"250,000 EGP",Black,"260,000 Km",Daewoo,Nubira 2,Faiyum,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6174272
Kia Cerato 2011,"550,000 EGP",Mocha,,Kia,Cerato,Giza,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/cerato/6174266
Chevrolet Optra 2021,"550,000 EGP",Dark blue,"52,000 Km",Chevrolet,Optra,Giza,2023-12-15,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chevrolet/optra/6151839
